Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
mephidro,Elves,Eureka22422,2-0,ajdadd420,0-2,matyo804,2-1,Bullwinkkle6705,2-0,lcshana,2-0,MTGHolic,2-1,abombdiggity,2-1,Wrath_TheKid,2-0,JUJUBEAN__2004,2-0,endFunU,2-0,endFunU,2-0,fluffy21,2-0,bennybo,2-0,,,,,,,1
bennybo,White Stompy,Ovinize,2-0,Violent_Outburst,2-1,BERNASTORRES,2-1,satu2112,1-2,Wings_Style_Spartan,2-0,HinaHara,2-1,Dmags0917,2-0,reisyasu,2-1,almostomniscient,2-1,medvedev,2-1,kobayui,2-0,kohei1202,2-1,mephidro,0-2,,,,,,,2
fluffy21,Elves,Melkhart,2-1,LSC1998,2-1,gatekappa,2-0,endFunU,1-2,Darkmattergun,2-0,Udon1590,2-0,kado222,2-1,kobayui,2-1,wizardpasta,2-1,Cartesian,2-1,medvedev,2-1,mephidro,0-2,,,,,,,,,3
kohei1202,UR Delver,yusuke0923,2-0,D00mwake,2-0,JPA93,2-0,wizardpasta,1-2,Beekeeper,2-1,gatekappa,2-0,JoergHeinrich,2-0,utley26,2-1,Cartesian,0-2,ziggy_stardust,2-0,JUJUBEAN__2004,2-0,bennybo,1-2,,,,,,,,,4
endFunU,Elves,keisesu,2-1,sfz,2-0,Smradd,2-1,fluffy21,2-1,kado222,0-2,yoshiwata,2-0,LSC1998,2-0,bernardocssa,2-1,Vansguy,2-1,mephidro,0-2,mephidro,0-2,,,,,,,,,,,5
medvedev,4C Control,taruto1212,2-1,matyo804,2-1,Alex_Brown,2-1,Ozymandias17,2-1,WingedHussar,2-0,AlpInco,2-1,JUJUBEAN__2004,0-2,CookieKid00,2-0,kobayui,2-1,bennybo,1-2,fluffy21,1-2,,,,,,,,,,,6
kobayui,UR Delver,HealthyFrog,2-1,albertoSD,2-0,WeareVenom,2-1,ziggy_stardust,2-1,Vansguy,2-1,reisyasu,2-0,utley26,2-0,fluffy21,1-2,medvedev,1-2,Oceansoul92,2-0,bennybo,0-2,,,,,,,,,,,7
JUJUBEAN__2004,UR Delver,abombdiggity,2-1,Koala40,2-0,Supercazzola,2-0,Martinho1111,2-0,Kosame,2-1,xJCloud,2-1,medvedev,2-0,wizardpasta,0-2,mephidro,0-2,djizma,2-0,kohei1202,0-2,,,,,,,,,,,8
Vansguy,UR Delver,wakarock,2-0,Dmags0917,2-0,seblba,2-0,akguy152,2-0,kobayui,1-2,duanceyao,2-1,1mrlee,2-0,FirstToThirst,2-0,endFunU,1-2,sfz,2-0,,,,,,,,,,,,,9
Cartesian,RUG Delver,DavidVanDerRaven,2-1,wingzerofnc,2-1,tom_basketball,1-2,Devt,2-1,Tsubasa_Cat,2-1,akguy152,2-0,sfz,2-0,thestudygroup,2-1,kohei1202,2-0,fluffy21,1-2,,,,,,,,,,,,,10
